id;nome;siglaPartido;siglaUf;urlFoto
220612;Bebeto;PP;RJ;https://www.camara.leg.br/internet/deputado/bandep/220612.jpg
73701;Benedita da Silva;PT;RJ;https://www.camara.leg.br/internet/deputado/bandep/73701.jpg
109429;Benes Leocádio;UNIÃO;RN;https://www.camara.leg.br/internet/deputado/bandep/109429.jpg
204358;Beto Pereira;REPUBLICANOS;MS;https://www.camara.leg.br/internet/deputado/bandep/204358.jpg
220698;Beto Preto;PSD;PR;https://www.camara.leg.br/internet/deputado/bandep/220698.jpg
220683;Beto Richa;PSDB;PR;https://www.camara.leg.br/internet/deputado/bandep/220683.jpg
204374;Bia Kicis;PL;DF;https://www.camara.leg.br/internet/deputado/bandep/204374.jpg
204388;Bibo Nunes;PL;RS;https://www.camara.leg.br/internet/deputado/bandep/204388.jpg
160538;Bohn Gass;PT;RS;https://www.camara.leg.br/internet/deputado/bandep/160538.jpg
210989;Bruno Farias;REPUBLICANOS;MG;https://www.camara.leg.br/internet/deputado/bandep/210989.jpg
220635;Bruno Ganem;PODE;SP;https://www.camara.leg.br/internet/deputado/bandep/220635.jpg
220574;Cabo Gilberto Silva;PL;PB;https://www.camara.leg.br/internet/deputado/bandep/220574.jpg
